,created_at_hour,cust_tid,favorite_count,has_profanity,in_business_hours,n_favorites,n_followers,n_following,n_hashtags,n_links,n_mentions,n_statuses,org_tid,protected,ratio_hashtags,ratio_numeric,ratio_user_mentions,responded_at_hour,responded_in,responded_in_bh,retweet_count,sentiment,source,tweet_length,user_age,verified
11707,21,977941157488427014,0,1,0,22,2056,1043,0,0,3,17304,977955500271775745,0,0.0,0.00684931506849315,0.09931506849315068,22,3420.0,0.0,0,0.8,Twitter for iPhone,292,232578222.0,0
11708,9,978483822592495616,0,1,0,969,192,475,0,0,1,1365,978484090511994880,0,0.0,0.031818181818181815,0.06363636363636363,9,64.0,64.0,0,0.8,Twitter for Android,220,121465551.0,0
11709,9,978486486289936384,0,1,0,14302,115,242,0,0,2,6512,978489267377917952,0,0.0,0.0,0.10382513661202186,9,663.0,663.0,0,0.8,Twitter for Android,183,278102569.0,0
11710,9,978476526915280896,0,1,0,1,6,7,0,0,1,15,978482084573564929,0,0.0,0.0,0.2692307692307692,9,1325.0,1325.0,0,0.8,Twitter for Android,52,205929791.0,0
11711,21,976483961470939140,0,1,0,1,6,7,0,0,3,15,976484775866388480,0,0.0,0.014634146341463415,0.14146341463414633,21,194.0,0.0,0,0.8,Twitter for Android,205,205454727.0,0
11712,9,978489071315034114,0,1,0,77,367,390,0,0,1,3581,978489553559478272,0,0.0,0.007407407407407408,0.08148148148148149,10,115.0,115.0,0,0.8,Twitter for Android,135,256689068.0,0
11713,9,978484155917910016,0,1,0,1,2,30,0,0,1,328,978497732150218752,0,0.0,0.06578947368421052,0.09210526315789473,10,3237.0,3237.0,0,0.8,Twitter Web Client,152,76092831.0,0
11714,9,978474980026404865,0,1,0,1,2,30,0,0,1,328,978478162203103232,0,0.0,0.0,0.07650273224043716,9,758.0,758.0,0,0.8,Twitter Web Client,183,76090644.0,0
11715,8,978462553545125888,0,1,0,1,2,30,0,0,1,328,978473762302590976,0,0.0,0.008547008547008548,0.05982905982905983,8,2672.0,0.0,0,0.8,Twitter Web Client,234,76087681.0,0
11716,9,978475416011685888,0,1,0,17,10,84,0,0,1,77,978483492865675265,0,0.0,0.0,0.05785123966942149,9,1925.0,1925.0,0,0.8,Twitter for Android,242,71142456.0,0
11717,8,978465828273233921,0,1,0,17,10,84,0,0,1,77,978474673284505600,0,0.0,0.08187134502923976,0.08187134502923976,9,2108.0,115.0,0,0.8,Twitter for Android,171,71140170.0,0
11718,8,978463668693184512,0,1,0,17,10,84,0,0,2,77,978463907986722816,0,0.0,0.0,0.16296296296296298,8,57.0,0.0,0,0.8,Twitter for Android,135,71139655.0,0
11719,9,978483657739403264,0,1,0,0,2,108,0,0,1,55,978485922860855296,0,0.0,0.014084507042253521,0.09859154929577464,9,540.0,540.0,0,0.8,Twitter for Android,142,175173842.0,0
11720,23,977975641470455808,0,1,0,0,2,108,0,0,1,55,977978099085213698,0,0.0,0.0,0.07216494845360824,0,586.0,0.0,0,0.8,Twitter for Android,194,175052721.0,0
11721,23,977970523882766336,0,1,0,0,2,108,0,0,1,55,977974932847067136,0,0.0,0.008968609865470852,0.06278026905829596,23,1051.0,0.0,0,0.8,Twitter for Android,223,175051501.0,0
11722,9,978475951007916032,0,1,0,1,1,25,0,0,1,47,978480259464073217,0,0.0,0.4,0.56,9,1027.0,1027.0,0,0.8,Twitter Lite,25,26353396.0,0
11723,15,976752980434317314,0,1,1,1,1,25,0,0,1,47,976831259384180736,0,0.0,0.0,0.15730337078651685,20,18663.0,7168.0,0,0.8,Twitter Lite,89,25942608.0,0
11724,17,974617353509064704,0,1,1,1,1,25,0,0,1,47,974626758170378240,0,0.0,0.0,0.08333333333333333,18,2242.0,0.0,0,0.8,Twitter Lite,60,25433435.0,0
11725,9,978487881198120960,0,1,0,85,82,31,0,0,1,695,978535615414366209,0,0.0,0.061855670103092786,0.07216494845360824,13,11381.0,11381.0,0,0.8,Twitter for iPhone,194,209738362.0,0
