,created_at_hour,cust_tid,favorite_count,has_profanity,in_business_hours,n_favorites,n_followers,n_following,n_hashtags,n_links,n_mentions,n_statuses,org_tid,protected,ratio_hashtags,ratio_numeric,ratio_user_mentions,responded_at_hour,responded_in,responded_in_bh,retweet_count,sentiment,source,tweet_length,user_age,verified
14960,9,999855326332571648,0,1,0,1,10,39,0,0,1,38,999855490329862144,0,0.0,0.017094017094017096,0.07692307692307693,9,39.0,39.0,0,0.8,Twitter for Android,117,131672960.0,0
14961,10,999881530284564481,0,1,1,0,0,34,0,0,1,11,999881917334892544,0,0.0,0.0,0.16494845360824742,10,92.0,92.0,0,0.8,Twitter Lite,97,87025.0,0
14962,8,999846696736645120,0,1,0,0,0,34,0,0,1,11,999847033308499969,0,0.0,0.2608695652173913,0.2318840579710145,8,80.0,0.0,0,0.8,Twitter Lite,69,78720.0,0
14963,8,999844394382516224,0,1,0,0,0,34,0,0,1,11,999845243074658304,0,0.0,0.0,0.19047619047619047,8,202.0,0.0,0,0.8,Twitter Lite,84,78171.0,0
14964,5,999806694774358016,0,1,0,48,6,56,0,0,1,13,999826622130806784,0,0.0,0.027777777777777776,0.1111111111111111,7,4751.0,0.0,0,0.8,Twitter for Android,144,157012898.0,0
14965,15,999595303224229888,0,1,1,48,6,56,0,0,1,13,999595501010829312,0,0.0,0.008403361344537815,0.13445378151260504,15,47.0,47.0,0,0.8,Twitter for Android,119,156962498.0,0
14966,10,999516058288439296,0,1,1,48,6,56,0,0,1,13,999516158268080128,0,0.0,0.023668639053254437,0.09467455621301775,10,23.0,23.0,0,0.8,Twitter for Android,169,156943605.0,0
14967,10,999148152908169216,0,1,1,48,6,56,0,0,1,13,999148626235420672,0,0.0,0.0,0.05714285714285714,10,113.0,113.0,0,0.8,Twitter for Android,280,156855889.0,0
14968,9,999856429832912896,0,1,0,613,12,74,0,0,1,32,999856631172055040,0,0.0,0.0,0.16,9,48.0,48.0,0,0.8,Twitter for Android,100,156531563.0,0
14969,9,999495739070824448,0,1,0,613,12,74,0,0,1,32,999495943962574848,0,0.0,0.0,0.13559322033898305,9,49.0,49.0,0,0.8,Twitter for Android,118,156445568.0,0
14970,15,998868396803473408,0,1,1,613,12,74,0,0,1,32,998869053732093952,0,0.0,0.14516129032258066,0.12903225806451613,15,157.0,157.0,0,0.8,Twitter for Android,124,156295998.0,0
14971,11,999890994504986627,0,1,1,22,35,106,0,0,2,72,999897253731971073,0,0.0,0.00881057268722467,0.11013215859030837,11,1493.0,1493.0,0,0.8,Twitter for Android,227,164944141.0,0
14972,11,999888446616301569,0,1,1,0,79,12,0,0,1,669,999888852880785408,0,0.0,0.005376344086021506,0.08602150537634409,11,97.0,97.0,0,0.8,Twitter Web Client,186,233252330.0,0
14973,17,999255256910344192,0,1,1,0,79,12,0,0,2,669,999257346088943616,0,0.0,0.011976047904191617,0.1497005988023952,17,498.0,0.0,0,0.8,Twitter for Android,167,233101366.0,0
14974,8,999848173165150208,0,1,0,39,32,61,0,0,1,77,999848484973920256,0,0.0,0.018867924528301886,0.3018867924528302,8,74.0,0.0,0,0.8,Twitter for iPhone,53,247661731.0,0
14975,16,999605853333442560,0,1,1,39,32,61,0,0,1,77,999663560023134208,0,0.0,0.0,0.0935672514619883,20,13759.0,1819.0,0,0.8,Twitter for iPhone,171,247603957.0,0
14976,10,999516837711892480,1,1,1,39,32,61,0,0,1,77,999517033158004736,0,0.0,0.0,0.1568627450980392,10,47.0,47.0,0,0.8,Twitter for iPhone,102,247582734.0,0
14977,22,999338448183070721,0,1,0,39,32,61,0,0,1,77,999338870494806021,0,0.0,0.008333333333333333,0.06666666666666667,22,101.0,0.0,0,0.8,Twitter for iPhone,240,247540203.0,0
14978,22,999336252653690880,0,1,0,39,32,61,0,0,1,77,999336502403350533,0,0.0,0.18181818181818182,0.09090909090909091,22,59.0,0.0,0,0.8,Twitter for iPhone,99,247539680.0,0
14979,10,999870437663301633,0,1,1,3,17,74,0,0,1,64,999870555070152706,0,0.0,0.0,0.1839080459770115,10,28.0,28.0,0,0.8,Twitter Web Client,87,105381717.0,0
14980,23,999715643346665472,0,1,0,3,17,74,0,0,1,64,999715728486907904,0,0.0,0.0,0.2222222222222222,23,21.0,0.0,0,0.8,Twitter Web Client,72,105344811.0,0
14981,23,999713639106920448,0,1,0,3,17,74,0,0,2,64,999713896763027456,0,0.0,0.08333333333333333,0.11574074074074074,23,61.0,0.0,0,0.8,Twitter Web Client,216,105344334.0,0
14982,21,999678886987337729,1,1,0,42,9,22,0,0,3,56,999680209447141376,0,0.0,0.039603960396039604,0.13861386138613863,21,315.0,0.0,0,0.8,Twitter for Android,303,216358220.0,0
14983,21,998228510455095298,0,1,0,42,9,22,0,0,3,56,998228897949872128,0,0.0,0.003289473684210526,0.13815789473684212,21,93.0,0.0,0,0.8,Twitter for Android,304,216012423.0,0
14984,7,998024198709706752,1,1,0,42,9,22,0,0,4,56,998024663199502336,0,0.0,0.0,0.9122807017543859,7,110.0,0.0,0,0.8,Twitter for Android,57,215963712.0,0
14985,20,997135961350750211,1,1,0,42,9,22,0,0,3,56,997136202116485120,0,0.0,0.0,0.1494661921708185,20,58.0,0.0,1,0.8,Twitter for Android,281,215751939.0,0
14986,12,999913108679278592,0,1,1,7,1,6,0,0,1,72,999918257589993472,0,0.0,0.0,0.1038961038961039,13,1227.0,1227.0,0,0.8,Twitter for Android,154,24930596.0,0
14987,11,999899253408350208,0,1,1,19,42,57,0,0,2,47,999899436175081472,0,0.0,0.0,0.1277533039647577,11,44.0,44.0,0,0.8,Twitter for iPhone,227,142805005.0,0
14988,15,999593272149463041,0,1,1,19,42,57,0,0,2,47,999594139384623104,0,0.0,0.03180212014134275,0.10247349823321555,15,207.0,207.0,0,0.8,Twitter for iPhone,283,142732054.0,0
14989,13,999917685864476672,0,1,1,14,65,375,0,0,0,34,999921101193949184,0,0.0,0.0,0.0,13,814.0,814.0,0,0.8,Twitter for Android,126,248568155.0,0
14990,13,999929450429956096,0,1,1,4,1,17,0,0,1,16,999930049775124481,0,0.0,0.030303030303030304,0.2727272727272727,13,143.0,143.0,0,0.8,Twitter for Android,33,5509845.0,0
14991,14,999934222344192002,0,1,1,1,67,38,0,1,3,32,999934397150187521,0,0.0,0.0,0.16055045871559634,14,41.0,41.0,0,0.8,Twitter Web Client,218,260981323.0,0
14992,11,999891631775006720,0,1,1,0,6,95,0,0,1,31,999891907042930689,0,0.0,0.0,0.19753086419753085,11,66.0,66.0,0,0.8,Twitter for Android,81,12923343.0,0
14993,18,999642637861769217,0,1,1,0,6,95,0,0,1,31,999642977860444160,0,0.0,0.0,0.11428571428571428,18,82.0,0.0,0,0.8,Twitter for Android,140,12863978.0,0
14994,14,999207937611575296,0,1,1,0,6,95,0,0,1,31,999216159026176000,0,0.0,0.07279693486590039,0.06130268199233716,14,1960.0,1960.0,0,0.8,Twitter for Android,261,12760338.0,0
14995,14,999938434788614145,0,1,1,2,6,14,0,0,1,23,999938979456733185,0,0.0,0.06521739130434782,0.03260869565217391,14,130.0,130.0,0,0.8,Twitter for Android,276,138657835.0,0
14996,14,999939277541654529,0,1,1,2,6,14,0,0,1,23,999957968010461184,0,0.0,0.0,0.1523809523809524,15,4456.0,4456.0,0,0.8,Twitter for Android,105,138658036.0,0
