,created_at_hour,cust_tid,favorite_count,has_profanity,in_business_hours,n_favorites,n_followers,n_following,n_hashtags,n_links,n_mentions,n_statuses,org_tid,protected,ratio_hashtags,ratio_numeric,ratio_user_mentions,responded_at_hour,responded_in,responded_in_bh,retweet_count,sentiment,source,tweet_length,user_age,verified
6950,4,958111267121754112,0,1,0,14,22,260,2,0,1,57,958112644485050369,0,0.05921052631578947,0.006578947368421052,0.039473684210526314,4,328.0,0.0,0,0.8,Twitter Web Client,152,169612374.0,0
6951,18,957605190214991877,0,1,1,2834,210,185,0,0,1,120344,957923492086808576,0,0.0,0.007692307692307693,0.046153846153846156,15,75889.0,25132.0,0,0.8,TwitPanePlus,130,247275370.0,0
6952,13,957522895743328257,0,1,1,2834,210,185,0,0,1,120344,957595332317274112,0,0.0,0.0,0.05263157894736842,18,17271.0,0.0,0,0.8,Janetter,114,247255749.0,0
6953,12,957504280352645120,0,1,1,2834,210,185,0,0,1,120344,957507605483741184,0,0.0,0.0,0.14285714285714285,12,793.0,0.0,0,0.8,Janetter,42,247251311.0,0
6954,11,957498204588728320,0,1,1,2834,210,185,0,0,1,120344,957502568162385920,0,0.0,0.023952095808383235,0.03592814371257485,12,1040.0,0.0,0,0.8,TwitPanePlus,167,247249863.0,0
6955,11,957493771238703106,1,1,1,2834,210,185,0,0,0,120344,957495643018326017,0,0.0,0.0,0.0,11,446.0,0.0,0,0.8,Janetter,59,247248806.0,0
6956,9,955643996482650112,0,1,0,763,449,559,0,0,1,787,955648561005367296,0,0.0,0.0,0.3,9,1088.0,1088.0,0,0.8,Twitter for iPhone,20,278834733.0,0
6957,4,955209586960576512,0,1,0,763,449,559,0,0,1,787,955613489376190465,0,0.0,0.0,0.05405405405405406,6,96297.0,28800.0,0,0.8,Twitter for iPhone,111,278731162.0,0
6958,2,954092432106205185,0,1,0,763,449,559,0,0,1,787,954488499109072896,0,0.0,0.0,0.046875,4,94430.0,28800.0,0,0.8,Twitter for iPhone,128,278464811.0,0
6959,1,954086227262623745,0,1,0,763,449,559,0,0,1,787,954091267759267840,0,0.0,0.0,0.09090909090909091,2,1202.0,0.0,0,0.8,Twitter for iPhone,66,278463332.0,0
6960,0,954060324407189504,2,1,0,763,449,559,0,0,1,787,954064170651176960,0,0.0,0.0,0.02142857142857143,0,917.0,0.0,0,0.8,Twitter for iPhone,280,278457156.0,0
6961,20,949287757171453952,0,1,0,3722,25,44,0,0,0,1778,949430907487780865,0,0.0,0.0,0.0,5,34130.0,0.0,0,0.8,Twitter for Android,45,29236146.0,0
6962,7,955614965355941888,0,1,0,6739,1393,459,0,1,1,20289,955620989307637762,0,0.0,0.0,0.05555555555555555,7,1437.0,0.0,0,0.8,Twitter for Mac,108,266763486.0,0
6963,21,954746007224496134,0,1,0,6739,1393,459,0,0,1,20289,955454890972729344,0,0.0,0.0,0.2727272727272727,20,169011.0,28800.0,0,0.8,Twitter for Mac,22,266556311.0,0
6964,7,954527432404545536,0,1,0,6739,1393,459,0,0,1,20289,954535640699465728,0,0.0,0.0,0.057692307692307696,7,1957.0,0.0,0,0.8,Twitter for Mac,104,266504198.0,0
6965,0,954425204758982656,0,1,0,6739,1393,459,0,0,1,20289,954430536164036608,0,0.0,0.00684931506849315,0.0410958904109589,0,1271.0,0.0,0,0.8,Twitter for Mac,146,266479825.0,0
6966,23,954408020632571905,0,1,0,6739,1393,459,0,0,1,20289,954414008832053250,0,0.0,0.0,0.15789473684210525,23,1428.0,0.0,0,0.8,Twitter for Mac,38,266475728.0,0
